Response Time (ms),Accuracy (%),Factual Claims Made,Naturalness Score,User Satisfaction Score,Test Scenario,Chatbot Version,Factual Claims Correct
2083,82.34,10,4.39,8.83,Tail,Atlas,3
4380,82.24,0,2.34,6.95,Head,KnowledgeBot G4,0
468,83.62,8,1.23,2.88,Recent,KnowledgeBot G3.5,4
1689,84.3,3,2.76,8.03,Tail,KnowledgeBot G4,3
4696,92.3,3,1.51,6.32,Tail,KnowledgeBot G4,3
1412,78.6,5,3.56,1.74,Tail,KnowledgeBot G3.5,4
2744,84.54,6,1.65,7.85,Recent,Atlas,2
4185,76.66,3,2.33,6.06,Recent,KnowledgeBot G4,1
1920,92.83,5,3.42,3.71,Head,Atlas,1
1736,80.49,6,4.9,2.58,Head,KnowledgeBot G3.5,4
596,96.92,8,1.03,5.08,Tail,Atlas,2
3080,99.12,4,2.97,1.12,Head,Atlas,4
2914,92.93,3,4.07,5.5,Tail,KnowledgeBot G4,2
1822,97.28,7,3.22,5.19,Tail,Atlas,1
3786,76.85,10,3.58,4.09,Head,KnowledgeBot G3.5,8
2406,85.18,3,4.6,6.12,Tail,KnowledgeBot G3.5,2
3100,79.59,1,3.81,1.59,Recent,KnowledgeBot G3.5,1
1038,89.1,5,4.62,4.7,Recent,Atlas,5
3566,85.08,0,3.22,1.07,Recent,KnowledgeBot G3.5,0
484,82.27,10,1.25,9.08,Recent,KnowledgeBot G3.5,7
475,82.57,5,3.13,5.12,Tail,Atlas,5
1062,73.3,8,2.37,3.99,Head,Atlas,5
2752,93.07,10,3.16,6.46,Head,KnowledgeBot G3.5,4
2005,73.65,4,4.7,1.7,Tail,KnowledgeBot G4,3
4721,79.99,1,2.18,4.59,Head,KnowledgeBot G3.5,0
4882,78.95,5,1.66,9.9,Head,KnowledgeBot G4,4
460,99.01,10,3.47,6.57,Head,KnowledgeBot G3.5,4
86,85.77,2,3.0,2.0,Tail,KnowledgeBot G4,1
4136,82.81,10,2.16,8.59,Tail,Atlas,3
2734,95.16,3,2.83,1.01,Head,KnowledgeBot G4,2
4415,71.12,5,2.47,2.56,Head,Atlas,1
4634,92.18,3,4.45,5.64,Recent,KnowledgeBot G3.5,2
598,97.83,2,1.69,7.73,Tail,KnowledgeBot G4,0
4067,90.1,4,3.76,7.16,Recent,KnowledgeBot G4,0
4330,86.85,6,2.21,7.4,Head,KnowledgeBot G3.5,0
3280,95.45,4,4.96,3.51,Recent,KnowledgeBot G4,4
2357,98.73,8,1.27,6.5,Recent,KnowledgeBot G4,8
4804,76.31,3,3.38,8.52,Head,KnowledgeBot G4,1
2438,75.15,4,4.34,9.28,Recent,Atlas,2
4062,97.87,0,4.93,8.04,Recent,KnowledgeBot G3.5,0
4302,96.59,5,4.34,1.04,Tail,Atlas,3
883,70.86,9,3.31,1.24,Recent,KnowledgeBot G3.5,3
2312,87.76,2,2.64,5.53,Tail,KnowledgeBot G3.5,2
2855,89.88,4,4.08,8.05,Recent,Atlas,2
2166,87.8,7,1.51,7.04,Head,KnowledgeBot G4,0
2541,94.76,7,2.1,1.23,Head,Atlas,1
865,79.46,9,1.67,1.33,Recent,Atlas,0
4665,87.2,0,1.29,5.3,Recent,KnowledgeBot G3.5,0
4834,82.24,0,3.6,4.82,Head,KnowledgeBot G4,0
589,80.71,0,1.18,3.06,Head,Atlas,0
1769,96.8,9,4.97,2.71,Head,Atlas,4
2206,87.97,2,3.65,6.62,Head,Atlas,2
2410,86.73,6,5.0,7.17,Recent,Atlas,1
1167,81.22,3,1.21,8.16,Tail,Atlas,1
3079,91.17,10,4.59,4.96,Recent,KnowledgeBot G4,0
2018,83.17,7,4.23,8.01,Tail,Atlas,5
3252,99.1,8,4.98,9.17,Head,KnowledgeBot G3.5,2
3263,98.61,9,3.8,7.55,Tail,Atlas,2
2180,93.22,5,3.99,3.34,Recent,Atlas,4
3337,99.48,10,2.35,2.4,Head,KnowledgeBot G3.5,0
3269,78.37,8,2.62,9.01,Tail,KnowledgeBot G4,7
4476,97.36,1,4.81,8.14,Tail,KnowledgeBot G4,0
301,92.96,6,4.24,5.96,Recent,KnowledgeBot G4,2
3154,87.29,5,3.42,5.1,Recent,KnowledgeBot G4,5
1707,90.53,9,1.48,2.63,Tail,KnowledgeBot G4,5
3701,70.46,1,3.24,7.9,Head,KnowledgeBot G3.5,0
4072,88.29,8,2.8,5.87,Tail,KnowledgeBot G4,3
3750,77.37,7,4.23,4.8,Recent,Atlas,5
2155,77.27,9,2.21,7.86,Tail,Atlas,1
388,70.81,5,4.38,2.27,Head,KnowledgeBot G3.5,5
3505,95.01,3,3.09,5.98,Tail,KnowledgeBot G3.5,1
1556,96.1,4,3.34,8.58,Tail,Atlas,0
4211,98.93,0,2.83,1.01,Tail,KnowledgeBot G4,0
2126,82.09,5,2.47,6.08,Tail,KnowledgeBot G4,3
1433,98.44,2,3.76,2.35,Head,KnowledgeBot G3.5,1
1116,77.89,0,1.93,7.46,Tail,KnowledgeBot G3.5,0
1231,76.93,2,3.24,2.8,Recent,KnowledgeBot G4,1
2127,89.19,6,3.84,5.73,Tail,Atlas,3
711,93.82,0,3.85,2.27,Recent,KnowledgeBot G4,0
3738,94.93,4,1.2,9.25,Tail,Atlas,3
3396,95.9,7,1.07,5.62,Head,Atlas,1
868,82.64,4,1.59,4.44,Recent,KnowledgeBot G4,0
2486,92.1,2,1.36,6.63,Tail,KnowledgeBot G3.5,1
140,81.89,0,2.82,6.79,Recent,KnowledgeBot G4,0
1265,91.21,5,3.0,6.94,Head,Atlas,0
147,91.25,4,3.79,2.29,Tail,Atlas,2
103,84.3,10,2.09,7.41,Recent,KnowledgeBot G3.5,1
828,95.68,8,4.72,6.42,Recent,KnowledgeBot G4,0
4582,75.66,3,1.11,5.94,Head,KnowledgeBot G4,2
1601,72.47,8,3.9,4.82,Head,KnowledgeBot G3.5,3
1190,84.11,3,4.15,8.88,Recent,Atlas,0
414,74.94,5,3.96,3.18,Tail,KnowledgeBot G4,3
498,91.91,9,2.9,4.72,Head,KnowledgeBot G3.5,0
598,85.02,5,3.51,9.46,Head,Atlas,3
2422,90.37,9,1.72,5.32,Head,KnowledgeBot G4,3
2807,79.45,3,1.18,2.32,Tail,Atlas,3
2895,93.16,10,2.19,1.16,Head,KnowledgeBot G4,1
845,93.97,7,2.15,3.12,Recent,KnowledgeBot G4,4
875,71.98,0,4.04,6.24,Recent,Atlas,0
226,97.23,2,1.29,7.44,Head,Atlas,1
